ReviewID,ProductID,ProductName,CustomerID,CustomerName,Rating,ReviewText,ReviewDate,CategoryName
28,1,华为 智能空气净化器 Basic,ON539,精芯网络有限公司移动应用开发,2.2,散热问题问题很严重，完全不值这个价格。,2025-03-09,智能空气净化器
12,2,三星 智能门锁 Advanced,AD754,开发区世创信息有限公司数字科技,2.2,这款产品有严重问题，兼容性差，已经申请退款。,2025-03-03,智能门锁
30,2,三星 智能门锁 Advanced,KS931,济南亿次元信息有限公司虚拟现实,4.2,这款智能门锁质量很好，续航时间长。总体来说很满意。,2025-03-01,智能门锁
21,5,格力 智能马桶 Advanced,ON539,精芯网络有限公司移动应用开发,3.1,坦白讲，这款智能马桶中规中矩。在旅行中使用时，节能模式表现不错。可惜的是使用久了会发现一些小问题。有点贵了，但质量确实好。,2025-02-28,智能马桶
4,1,华为 智能空气净化器 Basic,GB963,双敏电子传媒有限公司虚拟现实,2.0,信号强度问题很严重，完全不值这个价格。,2025-01-30,智能空气净化器
10,10,松下 智能空调 Basic,ON539,精芯网络有限公司移动应用开发,4.0,使用了一个月，功能齐全，没有发现任何问题。,2024-12-23,智能空调
19,4,博世 智能洗衣机 Basic,NU707,鸿睿思博信息有限公司区块链技术,1.3,说实话，这款智能洗衣机功能实现得很糟糕。连接稳定性简直无法忍受。唯一值得称赞的可能就是送货速度快。已经申请退款了。,2024-11-29,智能洗衣机
18,9,小米 智能手环 Mini,CH664,彩虹网络有限公司大数据分析,2.5,这款产品有严重问题，价格偏高，已经申请退款。,2024-10-22,智能手环
13,9,小米 智能手环 Mini,KS931,济南亿次元信息有限公司虚拟现实,1.3,使用一周后出现故障，价格偏高，售后服务也不好。,2024-10-11,智能手环
7,10,松下 智能空调 Basic,NU707,鸿睿思博信息有限公司区块链技术,1.8,噪音控制问题很严重，完全不值这个价格。,2024-09-20,智能空调
22,8,格力 智能洗衣机 Max,CH664,彩虹网络有限公司大数据分析,3.5,在多次对比之后选择了这款，这款格力 智能洗衣机 Max优缺点都有。高清画质设计得比较合理。遗憾的是使用久了会发现一些小问题。总体来说还是很满意的。,2024-09-12,智能洗衣机
6,10,松下 智能空调 Basic,IS953,兰金电子传媒有限公司金融科技,4.1,这是我用过的最好的智能空调之一，兼容性强，性价比很高。,2024-08-27,智能空调
14,2,三星 智能门锁 Advanced,CH664,彩虹网络有限公司大数据分析,2.1,使用一周后出现故障，稳定性差，售后服务也不好。,2024-08-02,智能门锁
26,2,三星 智能门锁 Advanced,OF968,七喜网络有限公司金融科技,3.2,这款产品优缺点都有，稳定性好，但功能单一。,2024-08-02,智能门锁
15,2,三星 智能门锁 Advanced,TT217,巨奥传媒有限公司区块链技术,2.0,使用一周后出现故障，价格偏高，售后服务也不好。,2024-06-09,智能门锁
23,3,博世 智能音箱 Advanced,QF269,襄樊地球村传媒有限公司信息技术,1.2,对这款智能音箱非常不满意，续航时间短，浪费钱。,2024-05-30,智能音箱
16,3,博世 智能音箱 Advanced,IS953,兰金电子传媒有限公司金融科技,3.2,智能音箱的质量还可以，节能环保，不过使用说明不清。,2024-05-24,智能音箱
11,7,苹果 智能门锁 Elite,CH664,彩虹网络有限公司大数据分析,2.5,不推荐这款智能门锁，使用说明不清，很失望。,2024-05-05,智能门锁
5,7,苹果 智能门锁 Elite,PK763,迪摩网络有限公司虚拟现实,2.3,连接稳定性问题很严重，完全不值这个价格。,2023-12-06,智能门锁
2,8,格力 智能洗衣机 Max,OZ939,兰金电子网络有限公司生物科技,2.2,这款产品有严重问题，续航时间短，已经申请退款。,2023-11-09,智能洗衣机
24,2,三星 智能门锁 Advanced,PK763,迪摩网络有限公司虚拟现实,3.1,智能门锁的质量还可以，做工精细，不过安装困难。,2023-11-02,智能门锁
3,7,苹果 智能门锁 Elite,LB133,国讯信息有限公司人工智能,2.3,老实讲，这款智能门锁很失望。使用不到一周就出现了损坏。不推荐任何人购买。,2023-10-28,智能门锁
17,3,博世 智能音箱 Advanced,YX989,华远软件信息有限公司物联网,2.3,连接稳定性问题很严重，完全不值这个价格。,2023-10-26,智能音箱
27,9,小米 智能手环 Mini,OZ939,兰金电子网络有限公司生物科技,1.0,对这款智能手环非常不满意，音质一般，浪费钱。,2023-10-10,智能手环
1,4,博世 智能洗衣机 Basic,AD754,开发区世创信息有限公司数字科技,4.0,这款智能洗衣机的语音识别功能很实用，节能环保。,2023-07-21,智能洗衣机
8,8,格力 智能洗衣机 Max,GB963,双敏电子传媒有限公司虚拟现实,4.2,非常满意这次购买，质量很好，送货也很快。,2023-05-31,智能洗衣机
25,4,博世 智能洗衣机 Basic,TB272,易动力信息有限公司网络安全,2.8,对这款智能洗衣机非常不满意，画质模糊，浪费钱。,2023-05-25,智能洗衣机
29,7,苹果 智能门锁 Elite,AQ661,双敏电子科技有限公司区块链技术,4.7,这款产品的一键控制特别好用，在夜间使用时特别方便。,2023-05-15,智能门锁
9,1,华为 智能空气净化器 Basic,XT154,巨奥科技有限公司人工智能,4.8,智能空气净化器的设计很人性化，质量很好，值得推荐。,2023-05-13,智能空气净化器
20,7,苹果 智能门锁 Elite,NU707,鸿睿思博信息有限公司区块链技术,4.9,这是我用过的最好的智能门锁之一，功能齐全，性价比很高。,2023-04-06,智能门锁
